CLAVE SITIO,NOMBRE DEL SITIO,COLI_FEC,COT,COT_SOL,N_NH3,N_NO2,N_NO3,N_ORG,N_TOT,N_TOTK,P_TOT,ORTO_PO4,COLOR_VER,ABS_UV,SDT,SST,TURBIEDAD,AS_TOT,CD_TOT,CR_TOT,HG_TOT,NI_TOT,PB_TOT,TEMP_AMB
OCPNO4516,"BAHIA DE OUHIRA TOPOLOBAMPO SEG 36, 4 ISA8A",410,12.139,9.828,0.06,0.116,0.465,1.953,2.594,2.013,0.179,0.012,150,0.119,26400,157.5,5.4,0.00139,0.0002,0.00088,0.00036,0.0002,0.00154,24
OCPNO4516,"BAHIA DE OUHIRA TOPOLOBAMPO SEG 36, 4 ISA8A",288,0.958,0.088,0.162,0.002,0.023,1.891,2.078,2.053,0.092,0.016,7.5,0.104,38720,16.4,9.6,0.00139,0.0002,0.00088,0.00005,0.0002,0.00154,26
OCPNO4516,"BAHIA DE OUHIRA TOPOLOBAMPO SEG 36, 4 ISA8A",345,15.08,5.101,0.033,0.001,0.014,2.38,2.428,2.413,0.155,0.011,30,0.126,48480,69.3,5.5,0.01,0.0002,0.00088,0.00034,0.0053,0.00154,35
OCPNO4516,"BAHIA DE OUHIRA TOPOLOBAMPO SEG 36, 4 ISA8A",3873,1.476,0.088,0.266791,0.015991,0.03007,1.810033,2.122885,2.076824,0.153985,0.016683,25,0.163,20160,62,25,0.0018,0.00023,0.00099,0.0001,0.00036,0.00154,30
OCPNO4516,"BAHIA DE OUHIRA TOPOLOBAMPO SEG 36, 4 ISA8A",97,0.088,0.088,0.077309,0.002292,0.014273,1.533222,1.627096,1.610531,0.106929,0.015171,10,0.07,41840,40,13,0.0018,0.00023,0.00099,0.000082,0.00036,0.00154,32
OCPNO4516,"BAHIA DE OUHIRA TOPOLOBAMPO SEG 36, 4 ISA8A",148,0.088,0.088,0.058923,0.0029,0.0331,1.253001,1.347924,1.311924,0.122705,0.0315,8,0.043,52560,26,6.1,0.0018,0.00023,0.00099,0.000058,0.00036,0.00154,32
OCPNO4516,"BAHIA DE OUHIRA TOPOLOBAMPO SEG 36, 4 ISA8A",24196,0.088,0.088,0.052833,0.011277,0.011259,2.828567,2.903936,2.8814,0.1663,0.063239,15,0.09373,34456,30.67,7,0.0018,0.00023,0.00099,0.0001,0.00036,0.00154,33
OCPNO4516,"BAHIA DE OUHIRA TOPOLOBAMPO SEG 36, 4 ISA8A",132,0.088,0.088,0.124406,0.001524,0.013626,2.06383,2.203386,2.188236,0.082323,0.026506,10,0.0846,39680,46,12,0.0018,0.00023,0.0069,0.000887,0.00036,0.00154,28
OCPNO4516,"BAHIA DE OUHIRA TOPOLOBAMPO SEG 36, 4 ISA8A",1,0.088,0.088,0.160899,0.001545,0.002152,2.505593,2.670189,2.666492,0.101942,0.026855,13,0.06077,51360,92,8.5,0.0018,0.00023,0.00099,0.0001,0.00036,0.00154,35
OCPNO4516,"BAHIA DE OUHIRA TOPOLOBAMPO SEG 36, 4 ISA8A",483,0.088,0.088,0.065676,0.000901,0.005453,3.228143,3.300173,3.293819,0.061025,0.01637,5,0.05837,51520,42,8.2,0.0018,0.00023,0.00099,0.0001,0.00036,0.00154,33
